Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/11/16, 14:55:48, 53.209045, -4.194209, 76.37,  68148.00, 37, 0, 38.39, 1
2017/11/16, 14:55:49, 53.209187, -4.194136, 78.30,  63144.00, 31, 0, 16.52, 1
2017/11/16, 14:55:50, 53.209320, -4.193992, 79.99,  66528.00, 32, 0, 17.63, 1
2017/11/16, 14:55:51, 53.209423, -4.193817, 81.74,  70596.00, 37, 0, 16.34, 1
2017/11/16, 14:55:52, 53.209522, -4.193528, 82.80,  74124.00, 45, 0, 22.17, 1
2017/11/16, 14:55:54, 53.209702, -4.192908, 81.18,  80928.00, 57, 0, 45.88, 1
2017/11/16, 14:55:55, 53.209705, -4.192434, 79.71,  92196.00, 68, 0, 31.57, 1
2017/11/16, 14:55:56, 53.209682, -4.191836, 73.38,  99756.00, 74, 0, 39.90, 
2017/11/16, 14:55:57, 53.209797, -4.191479, 71.51,  96480.00, 68, 0, 26.99, 1
2017/11/16, 14:55:58, 53.209949, -4.191206, 71.35,  83160.00, 56, 0, 24.82, 1
2017/11/16, 14:55:59, 53.210136, -4.191049, 71.07,  76608.00, 38, 0, 23.27, 1
2017/11/16, 14:56:00, 53.210335, -4.190886, 71.91,  82836.00, 36, 0, 24.65, 1
2017/11/16, 14:56:01, 53.210518, -4.190718, 73.22,  77364.00, 30, 0, 23.22, 1
2017/11/16, 14:56:02, 53.210697, -4.190617, 75.54,  71208.00, 18, 0, 21.01, 1
2017/11/16, 14:56:03, 53.210873, -4.190516, 79.40,  71712.00, 26, 0, 20.69, 1
2017/11/16, 14:56:04, 53.211029, -4.190351, 80.35,  74880.00, 36, 0, 20.53, 1
2017/11/16, 14:56:05, 53.211151, -4.190091, 77.75,  83844.00, 48, 0, 22.00, 1
2017/11/16, 14:56:06, 53.211227, -4.189743, 74.56,  89280.00, 64, 0, 24.67, 1
2017/11/16, 14:56:07, 53.211296, -4.189374, 72.72,  91692.00, 71, 0, 25.74, 1
2017/11/16, 14:56:08, 53.211391, -4.189031, 71.23,  88668.00, 60, 0, 25.17, 1
2017/11/16, 14:56:10, 53.211643, -4.188433, 69.25,  86076.00, 54, 0, 48.69, 1
2017/11/16, 14:56:11, 53.211769, -4.188145, 68.47,  86760.00, 54, 0, 23.75, 1
2017/11/16, 14:56:12, 53.211884, -4.187839, 67.42,  87048.00, 56, 0, 24.06, 1
2017/11/16, 14:56:13, 53.211983, -4.187525, 67.09,  84852.00, 59, 0, 23.63, 1
2017/11/16, 14:56:14, 53.211971, -4.187132, 67.13,  82656.00, 71, 0, 26.20, 1
2017/11/16, 14:56:15, 53.211967, -4.186762, 67.11,  83700.00, 80, 0, 24.64, 1
2017/11/16, 14:56:17, 53.211952, -4.185967, 66.44,  89712.00, 84, 0, 52.97, 1
2017/11/16, 14:56:19, 53.212013, -4.185271, 67.00,  85284.00, 79, 0, 46.84, 1
2017/11/16, 14:56:20, 53.212074, -4.184945, 67.15,  85284.00, 74, 0, 22.74, 1
2017/11/16, 14:56:21, 53.212139, -4.184610, 65.93,  85644.00, 70, 0, 23.45, 1
2017/11/16, 14:56:22, 53.212215, -4.184273, 65.52,  85572.00, 68, 0, 23.98, 1
2017/11/16, 14:56:23, 53.212318, -4.183985, 64.72,  81756.00, 65, 0, 22.34, 1
2017/11/16, 14:56:25, 53.212532, -4.183504, 64.88,  70740.00, 57, 0, 39.90, 1
2017/11/16, 14:56:26, 53.212761, -4.183474, 66.17,  68328.00, 39, 0, 25.54, 1
2017/11/16, 14:56:27, 53.212929, -4.183388, 67.67,  64008.00, 28, 0, 19.54, 1
2017/11/16, 14:56:28, 53.213070, -4.183290, 69.29,  63288.00, 29, 0, 16.98, 1
2017/11/16, 14:56:29, 53.213226, -4.183187, 71.33,  61920.00, 28, 0, 18.65, 1
2017/11/16, 14:56:31, 53.213474, -4.182850, 70.60,  65340.00, 37, 0, 35.55, 1
2017/11/16, 14:56:32, 53.213608, -4.182591, 70.16,  70092.00, 40, 0, 22.79, 1
2017/11/16, 14:56:34, 53.213905, -4.182230, 67.66,  70128.00, 35, 0, 40.85, 1
2017/11/16, 14:56:35, 53.214100, -4.182101, 66.85,  69588.00, 28, 0, 23.32, 1
2017/11/16, 14:56:36, 53.214287, -4.181994, 66.76,  74196.00, 23, 0, 21.98, 1
2017/11/16, 14:56:37, 53.214485, -4.181884, 68.12,  77904.00, 22, 0, 23.20, 1
2017/11/16, 14:56:38, 53.214657, -4.181695, 68.64,  81288.00, 26, 0, 22.89, 1
2017/11/16, 14:56:39, 53.214817, -4.181493, 69.05,  82584.00, 31, 0, 22.30, 1
2017/11/16, 14:56:40, 53.214951, -4.181246, 69.54,  80928.00, 38, 0, 22.19, 1
2017/11/16, 14:56:41, 53.215046, -4.180940, 70.12,  76320.00, 44, 0, 22.95, 1
2017/11/16, 14:56:42, 53.215160, -4.180692, 71.15,  75312.00, 48, 0, 20.82, 1
2017/11/16, 14:56:43, 53.215275, -4.180438, 71.66,  77544.00, 50, 0, 21.20, 1
2017/11/16, 14:56:44, 53.215382, -4.180140, 71.64,  79272.00, 52, 0, 23.14, 1
2017/11/16, 14:56:46, 53.215622, -4.179597, 72.39,  84600.00, 53, 0, 44.94, 1
2017/11/16, 14:56:47, 53.215736, -4.179273, 70.11,  88560.00, 53, 0, 25.02, 1
2017/11/16, 14:56:49, 53.215973, -4.178641, 70.95,  88308.00, 55, 0, 49.65, 1
2017/11/16, 14:56:50, 53.216084, -4.178347, 70.02,  83808.00, 54, 0, 23.14, 1
2017/11/16, 14:56:51, 53.216187, -4.178070, 70.07,  77220.00, 55, 0, 21.71, 1
2017/11/16, 14:56:52, 53.216290, -4.177821, 69.43,  72036.00, 53, 0, 20.15, 1
2017/11/16, 14:56:53, 53.216393, -4.177590, 69.07,  68544.00, 51, 0, 19.18, 1
2017/11/16, 14:56:55, 53.216576, -4.177114, 70.24,  70848.00, 57, 0, 37.66, 1
2017/11/16, 14:56:56, 53.216656, -4.176856, 70.74,  68472.00, 60, 0, 19.34, 1
2017/11/16, 14:56:57, 53.216717, -4.176575, 70.53,  70560.00, 66, 0, 19.90, 1
2017/11/16, 14:56:58, 53.216774, -4.176287, 70.52,  70164.00, 70, 0, 20.20, 1
2017/11/16, 14:56:59, 53.216824, -4.176022, 71.15,  66276.00, 68, 0, 18.50, 1
2017/11/16, 14:57:01, 53.216938, -4.175512, 74.11,  65052.00, 67, 0, 36.25, 1
2017/11/16, 14:57:02, 53.216991, -4.175260, 75.28,  65052.00, 69, 0, 17.78, 1
2017/11/16, 14:57:04, 53.217052, -4.174686, 76.55,  68760.00, 77, 0, 38.82, 1
2017/11/16, 14:57:05, 53.217033, -4.174348, 76.02,  74592.00, 83, 0, 22.60, 1
2017/11/16, 14:57:06, 53.217037, -4.174001, 76.31,  80532.00, 86, 0, 23.11, 1
2017/11/16, 14:57:07, 53.217045, -4.173649, 76.30,  81792.00, 86, 0, 23.45, 1
2017/11/16, 14:57:08, 53.217037, -4.173306, 74.57,  82764.00, 88, 0, 22.85, 1
2017/11/16, 14:57:09, 53.217033, -4.172971, 73.94,  80892.00, 88, 0, 22.31, 1
2017/11/16, 14:57:10, 53.217045, -4.172646, 74.10,  79452.00, 87, 0, 21.68, 1
2017/11/16, 14:57:11, 53.217094, -4.172403, 72.91,  69588.00, 83, 0, 17.07, 1
2017/11/16, 14:57:13, 53.217209, -4.172011, 71.97,  53496.00, 75, 0, 29.06, 1
2017/11/16, 14:57:14, 53.217251, -4.172277, 70.69,  11448.00, 72, 0, 18.32, 1
2017/11/16, 14:57:16, 53.217232, -4.172671, 72.22,  19116.00, 7, 0, 26.32, 1
2017/11/16, 14:57:17, 53.217064, -4.173018, 70.59,  44568.00, 267, 0, 29.71, 1
2017/11/16, 14:57:19, 53.216862, -4.173202, 70.27,  43668.00, 229, 0, 25.59, 1
2017/11/16, 14:57:20, 53.216835, -4.173111, 68.98,  28512.00, 218, 0, 6.76, 1
2017/11/16, 14:57:21, 53.216835, -4.173104, 70.71,  22464.00, 214, 0, 0.47, 1
2017/11/16, 14:57:22, 53.216785, -4.173179, 70.33,  24732.00, 216, 0, 7.47, 1
2017/11/16, 14:57:23, 53.216820, -4.173272, 69.25,  25200.00, 224, 0, 7.31, 1
2017/11/16, 14:57:25, 53.216782, -4.173391, 68.08,  16848.00, 227, 0, 8.98, 1
2017/11/16, 14:57:26, 53.216774, -4.173366, 67.28,  9288.00, 225, 0, 1.89, 1
2017/11/16, 14:57:27, 53.216770, -4.173388, 66.37,  4608.00, 224, 0, 1.53, 1
2017/11/16, 14:57:29, 53.216770, -4.173361, 65.11,  0.00, 224, 0, 1.80, 1
2017/11/16, 14:57:30, 53.216770, -4.173361, 65.11,  0.00, 224, 0, 0.00, 
2017/11/16, 14:57:31, 53.216770, -4.173361, 65.11,  0.00, 224, 0, 0.00, 
2017/11/16, 14:57:32, 53.216770, -4.173361, 65.11,  0.00, 224, 0, 0.00, 
2017/11/16, 14:57:34, 53.216770, -4.173361, 65.11,  0.00, 224, 0, 0.00, 
2017/11/16, 14:57:35, 53.216770, -4.173361, 65.11,  0.00, 224, 0, 0.00, 
2017/11/16, 14:57:36, 53.216770, -4.173361, 65.11,  0.00, 224, 0, 0.00, 
